timestamp,price
1784886607,0.67
1784887220,0.675
1784887807,0.67
1784888409,0.655
1784889016,0.665
1784889608,0.655
1784890206,0.665
1784890815,0.65
1784891423,0.655
1784892006,0.665
1784892619,0.665
1784893206,0.655
1784893806,0.655
1784894438,0.665
1784895008,0.665
1784895606,0.665
1784896220,0.665
1784896807,0.665
1784897409,0.635
1784898024,0.625
1784898606,0.565
1784899209,0.575
1784899821,0.555
1784900420,0.535
1784901007,0.54
1784901617,0.515
1784902206,0.525
1784902806,0.48
1784903424,0.47
1784904013,0.465
1784904608,0.48
1784905233,0.51
1784905808,0.48
1784906407,0.49
1784907018,0.515
1784907608,0.545
1784908207,0.525
1784908823,0.52
1784909407,0.525
1784910008,0.53
1784910614,0.515
1784911207,0.5
1784911807,0.49
1784912417,0.495
1784913010,0.49
1784913606,0.505
1784914222,0.52
1784914806,0.525
1784915413,0.53
1784916030,0.53
1784916609,0.53
1784917208,0.525
1784917811,0.53
1784918406,0.53
1784919009,0.545
1784919621,0.545
1784920206,0.54
1784920808,0.535
1784922023,0.545
1784922608,0.54
1784923221,0.545
1784923807,0.54
1784924409,0.54
1784925040,0.545
1784925608,0.54
1784926209,0.53
1784926830,0.535
1784927406,0.54
1784928007,0.525
1784928617,0.535
1784929210,0.53
1784929808,0.53
1784930419,0.53
1784931007,0.525
1784931621,0.53
1784932220,0.53
1784932818,0.535
1784933425,0.54
1784934018,0.535
1784934609,0.525
1784935210,0.525
1784935816,0.535
1784936408,0.53
1784937009,0.53
1784937636,0.525
1784938208,0.535
1784938809,0.53
1784939421,0.525
1784940008,0.535
1784940609,0.515
1784941219,0.51
1784941809,0.51
1784942409,0.5
1784943014,0.51
1784943608,0.51
1784944208,0.53
1784944819,0.51
1784945408,0.51
1784946009,0.5
1784946622,0.505
1784947208,0.5
1784947809,0.5
1784948423,0.505
1784949007,0.505
1784949606,0.515
1784950215,0.51
1784950807,0.51
1784951407,0.51
1784952019,0.51
1784952608,0.525
1784953208,0.525
1784953821,0.52
1784954423,0.525
1784955008,0.535
1784955620,0.535
1784956220,0.535
1784956809,0.53
1784957448,0.53
1784958006,0.515
1784958613,0.515
1784959245,0.515
1784959807,0.515
1784960406,0.515
1784961017,0.515
1784961618,0.515
1784962243,0.515
1784962851,0.515
1784963407,0.515
1784964010,0.515
1784964617,0.515
1784965209,0.515
1784965807,0.515
1784966430,0.515
1784967023,0.515
1784967607,0.515
1784968217,0.515
1784968808,0.515
1784969408,0.485
1784970031,0.475
1784970608,0.47
1784971207,0.48
1784971824,0.485
1784972406,0.485
1784973009,0.49
1784973617,0.5
1784974206,0.5
1784974806,0.505
1784975431,0.505
1784976007,0.5
1784976610,0.5
1784977214,0.515
1784977823,0.515
1784978406,0.525
1784979032,0.525
1784979608,0.525
1784980208,0.525
1784980853,0.525
1784981409,0.525
1784982006,0.525
1784982614,0.52
1784983221,0.535
1784983806,0.535
1784984423,0.535
1784985006,0.535
1784985619,0.535
1784986219,0.535
1784986819,0.535
1784987407,0.555
1784988021,0.545
1784988608,0.545
1784989212,0.545
1784989819,0.545
1784990408,0.545
1784991024,0.545
1784991645,0.545
1784992208,0.545
1784992807,0.555
1784993418,0.545
1784994009,0.545
1784994608,0.545
1784995219,0.545
1784995809,0.545
1784996408,0.545
1784997018,0.525
1784997606,0.545
1784998217,0.545
1784998826,0.545
1784999408,0.545
1785000007,0.545
1785000621,0.555
1785001226,0.555
1785001824,0.56
1785002438,0.555
1785003023,0.565
1785003606,0.575
1785004217,0.575
1785004806,0.575
1785005406,0.58
1785006019,0.575
1785006608,0.575
1785007207,0.575
1785007831,0.575
1785008406,0.575
1785009009,0.575
1785009626,0.575
1785010215,0.565
1785010807,0.57
1785011417,0.57
1785012008,0.565
1785012606,0.565
1785013255,0.57
1785013808,0.56
1785014412,0.555
1785015017,0.55
1785015606,0.565
1785016224,0.575
1785016824,0.56
1785017409,0.57
1785018006,0.575
1785018619,0.575
1785019208,0.57
1785019809,0.575
1785020448,0.57
1785021006,0.57
1785021607,0.57
1785022218,0.57
1785022809,0.57
1785023409,0.57
1785024030,0.57
1785024608,0.575
1785025209,0.575
1785025814,0.59
1785026421,0.585
1785027005,0.585
1785027615,0.59
1785028207,0.595
1785028822,0.6
1785029415,0.59
1785030007,0.595
1785030606,0.595
1785031217,0.595
1785031806,0.58
1785032405,0.59
1785033015,0.59
1785033619,0.59
1785034206,0.595
1785034838,0.605
1785035407,0.6
1785036006,0.605
1785036647,0.61
1785037220,0.61
1785037807,0.61
1785038423,0.61
1785039008,0.6
1785039612,0.595
1785040218,0.605
1785040806,0.61
1785041409,0.61
1785042017,0.6
1785042631,0.6
1785043208,0.6
1785043822,0.6
1785044410,0.59
1785045007,0.59
1785045634,0.58
1785046209,0.575
1785046813,0.565
1785047447,0.56
1785048006,0.57
1785048625,0.575
1785049249,0.59
1785049820,0.585
1785050407,0.58
1785051022,0.58
1785051609,0.575
1785052210,0.575
1785052817,0.58
1785053407,0.58
1785054010,0.58
1785054620,0.58
1785055223,0.58
1785055807,0.595
1785056419,0.605
1785057008,0.605
1785057609,0.61
1785058218,0.605
1785058808,0.605
1785059410,0.61
1785060024,0.615
1785060609,0.605
1785061206,0.605
1785061843,0.605
1785062409,0.61
1785063006,0.61
1785063615,0.61
1785064206,0.605
1785064806,0.605
1785065420,0.605
1785066007,0.605
1785066605,0.605
1785067239,0.605
1785067807,0.62
1785068407,0.61
1785069031,0.615
1785069606,0.615
1785070207,0.605
1785070815,0.605
1785071406,0.605
1785072006,0.605
1785072614,0.605
1785073206,0.605
1785073807,0.615
1785074422,0.605
1785075007,0.64
1785075606,0.63
1785076222,0.63
1785076807,0.63
1785077406,0.64
1785078607,0.64
1785079222,0.645
1785079823,0.645
1785080407,0.65
1785081006,0.65
1785081622,0.65
1785082208,0.64
1785082808,0.645
1785083423,0.655
1785084006,0.66
1785084606,0.66
1785085230,0.655
1785085806,0.635
1785086407,0.655
1785087020,0.645
1785087607,0.64
1785088209,0.635
1785088836,0.635
1785089422,0.635
1785090006,0.635
1785090629,0.635
1785091208,0.645
1785091810,0.645
1785092429,0.655
1785093006,0.64
1785093607,0.635
1785094228,0.645
1785094808,0.65
1785095408,0.64
1785096039,0.64
1785096609,0.645
1785097208,0.64
1785097832,0.63
1785098407,0.635
1785099007,0.645
1785100209,0.63
1785100807,0.645
1785101423,0.66
1785102008,0.66
1785102607,0.675
1785103217,0.67
1785103808,0.725
1785104408,0.73
1785105022,0.735
1785105607,0.76
1785106208,0.77
1785106818,0.76
1785107408,0.78
1785108009,0.76
1785108622,0.755
1785109207,0.755
1785109806,0.755
1785110443,0.755
1785111008,0.745
1785111606,0.725
1785112221,0.735
1785112807,0.72
1785113407,0.73
1785114021,0.72
1785114607,0.73
1785115207,0.71
1785115814,0.705
1785116405,0.71
1785117006,0.73
1785117615,0.74
1785118221,0.73
1785118807,0.735
1785119416,0.735
1785120006,0.74
1785120606,0.735
1785121234,0.73
1785121806,0.735
1785122407,0.745
1785123020,0.755
1785123607,0.755
1785124207,0.755
1785124826,0.75
1785125408,0.75
1785126007,0.765
1785126629,0.76
1785127207,0.765
1785127809,0.765
1785128420,0.755
1785129009,0.76
1785129608,0.765
1785130221,0.775
1785130808,0.775
1785131405,0.77
1785132038,0.785
1785132606,0.805
1785133206,0.805
1785133820,0.805
1785134406,0.805
1785135008,0.805
1785135619,0.805
1785136206,0.79
1785136806,0.785
1785137415,0.785
1785138007,0.755
1785138608,0.765
1785139220,0.755
1785139808,0.75
1785140407,0.76
1785141029,0.755
1785141607,0.745
1785142221,0.755
1785142822,0.745
1785143420,0.74
1785144006,0.745
1785144623,0.755
1785145209,0.775
1785145806,0.77
1785146427,0.765
1785147006,0.765
1785147605,0.765
1785148213,0.785
1785148813,0.79
1785149407,0.785
1785150021,0.775
1785150622,0.77
1785151206,0.765
1785151828,0.74
1785152406,0.76
1785153006,0.745
1785153639,0.74
1785154206,0.76
1785154825,0.73
1785155428,0.725
1785156005,0.715
1785156606,0.73
1785157226,0.74
1785157807,0.73
1785158408,0.725
1785159025,0.705
1785159606,0.795
1785160207,0.82
1785160826,0.755
1785161408,0.79
1785162007,0.755
1785162627,0.695
1785163208,0.645
1785163807,0.635
1785164436,0.655
1785165008,0.64
1785165612,0.655
1785166229,0.645
1785166808,0.625
1785167409,0.635
1785168028,0.625
1785168606,0.645
1785169213,0.635
1785169824,0.675
1785170406,0.71
1785171006,0.71
1785171634,0.705
1785172207,0.695
1785172808,0.715
1785173417,0.725
1785174006,0.735
1785174610,0.725
1785175234,0.735
1785175807,0.73
1785176408,0.7
1785177029,0.725
1785177633,0.685
1785178222,0.685
1785178830,0.715
1785179408,0.725
1785180014,0.735
1785180623,0.735
1785181207,0.745
1785181809,0.73
1785182430,0.74
1785183009,0.735
1785183607,0.725
1785184228,0.745
1785184811,0.735
1785185408,0.725
1785186028,0.735
1785186607,0.735
1785187209,0.715
1785187824,0.705
1785188408,0.705
1785189008,0.705
1785189627,0.705
1785190208,0.685
1785190807,0.685
1785191424,0.655
1785192007,0.635
1785192608,0.53
1785193231,0.45
1785193808,0.43
1785194415,0.475
1785195025,0.475
1785195606,0.445
1785196208,0.435
1785196837,0.455
1785197408,0.445
1785198007,0.445
1785198617,0.435
1785199207,0.435
1785199808,0.405
1785200418,0.395
1785201010,0.315
1785201607,0.315
1785202216,0.335
1785202807,0.345
1785203407,0.345
1785204019,0.325
1785204607,0.325
1785205207,0.325
1785205815,0.325
1785206407,0.32
1785207009,0.305
1785207649,0.315
1785208214,0.31
1785208824,0.335
1785209441,0.335
1785210008,0.345
1785210610,0.345
1785211247,0.345
1785211809,0.345
1785212413,0.335
1785213030,0.335
1785213610,0.325
1785214215,0.325
1785214843,0.335
1785215409,0.365
1785216010,0.395
1785216635,0.39
1785217207,0.39
1785217810,0.4
1785218445,0.38
1785219011,0.375
1785219609,0.375
1785220232,0.39
1785220808,0.405
1785221416,0.405
1785222039,0.405
1785222623,0.405
1785223235,0.405
1785223842,0.405
1785224407,0.405
1785225625,0.39
1785226212,0.385
1785226821,0.385
1785227443,0.385
1785228030,0.39
1785231009,0.39
1785231609,0.38
1785232207,0.375
1785232837,0.325
1785233412,0.305
1785234007,0.325
1785234630,0.32
1785235208,0.355
1785235808,0.365
1785236439,0.365
1785237008,0.335
1785237610,0.355
1785238237,0.335
1785238807,0.335
1785239411,0.355
1785240609,0.355
1785241214,0.345
1785241833,0.325
1785242407,0.325
1785243009,0.365
1785243635,0.365
1785244208,0.365
1785244822,0.345
1785245443,0.295
1785246009,0.225
1785246607,0.23
1785247232,0.265
1785247826,0.295
1785248407,0.24
1785249039,0.275
1785249609,0.28
1785250206,0.335
1785250841,0.325
1785251412,0.335
1785252009,0.335
1785252630,0.445
1785253208,0.45
1785253808,0.465
1785254437,0.475
1785255010,0.465
1785255611,0.465
1785256236,0.465
1785256808,0.455
1785257411,0.465
1785258035,0.535
1785258612,0.455
1785259214,0.425
1785259843,0.435
1785260409,0.345
1785261023,0.385
1785261642,0.385
1785262229,0.425
1785262810,0.415
1785263439,0.405
1785264012,0.405
1785264612,0.425
1785265249,0.415
1785265812,0.435
1785266435,0.425
1785267038,0.425
1785267642,0.425
1785268227,0.405
1785268845,0.455
1785269431,0.485
1785270010,0.515
1785271221,0.475
1785271818,0.485
1785273029,0.485
1785273614,0.475
1785274251,0.475
1785274825,0.515
1785275414,0.525
1785276625,0.515
1785277224,0.515
1785278430,0.465
1785279032,0.455
1785280234,0.385
1785280841,0.375
1785282048,0.415
1785282648,0.465
1785283810,0.545
1785284427,0.535
1785285049,0.505
1785285611,0.545
1785286211,0.525
1785286845,0.485
1785287414,0.475
1785288018,0.425
1785288643,0.465
1785289213,0.455
1785289813,0.415
1785290458,0.385
1785291018,0.415
1785291615,0.395
1785292250,0.505
1785292823,0.535
1785293437,0.475
1785294054,0.495
1785294626,0.505
1785295226,0.445
1785296431,0.415
1785297016,0.395
1785297643,0.385
1785298224,0.385
1785298821,0.355
1785300012,0.465
1785300615,0.455
1785301827,0.495
1785302424,0.475
1785303058,0.485
1785303633,0.505
1785304234,0.515
1785305441,0.545
1785306026,0.575
1785306650,0.685
1785307242,0.705
1785307833,0.695
1785309032,0.715
1785309646,0.735
1785310254,0.735
1785310824,0.725
